id;comentario;sentimiento
1;Los horarios de clase funciona de manera regular, ni bien ni mal.;neutro
2;Gran experiencia con los horarios de clase, todo funcionó de manera excelente.;positivo
3;Definitivamente recomendaría el instituto, sobre todo por la plataforma virtual.;positivo
4;En cuanto al servicio de wifi, la experiencia fue excelente y muy satisfactoria.;positivo
5;Quiero destacar que la plataforma virtual funciona muy bien, se nota el esfuerzo del instituto.;positivo
6;En cuanto a los precios de la pensión, la experiencia fue excelente y muy satisfactoria.;positivo
7;En cuanto a los docentes, la experiencia fue muy mala y decepcionante.;negativo
8;Los docentes se mantiene igual que el semestre pasado.;neutro
9;Quiero quejarme porque los docentes no funciona bien, es un problema constante.;negativo
10;Quiero destacar que la biblioteca funciona muy bien, se nota el esfuerzo del instituto.;positivo
11;Mala experiencia con los docentes, todo funcionó de manera deficiente.;negativo
12;En cuanto a la atención administrativa, la experiencia fue excelente y muy satisfactoria.;positivo
13;Los laboratorios cumple lo mínimo necesario, sin sorpresas.;neutro
14;Estoy muy contento con los docentes, cumplió todas mis expectativas.;positivo
15;Los eventos culturales ha empeorado este semestre, es lamentable.;negativo
16;Las instalaciones funciona de manera regular, ni bien ni mal.;neutro
17;Mala experiencia con los eventos culturales, todo funcionó de manera deficiente.;negativo
18;Con respecto a los precios de la pensión, todo estuvo dentro de lo esperado.;neutro
19;No tengo una opinión fuerte sobre los horarios de clase, es aceptable.;neutro
20;En cuanto a las instalaciones, la experiencia fue muy mala y decepcionante.;negativo
21;Mala experiencia con la atención administrativa, todo funcionó de manera deficiente.;negativo
22;En cuanto a los eventos culturales, la experiencia fue normal, sin nada destacable.;neutro
23;Quiero destacar que los laboratorios funciona muy bien, se nota el esfuerzo del instituto.;positivo
24;La atención administrativa ha empeorado este semestre, es lamentable.;negativo
25;Los docentes funciona de manera regular, ni bien ni mal.;neutro
26;En cuanto a los laboratorios, la experiencia fue normal, sin nada destacable.;neutro
27;Los eventos culturales funciona de manera regular, ni bien ni mal.;neutro
28;Estoy muy molesto con la plataforma virtual, no cumplió mis expectativas.;negativo
29;Con respecto a la biblioteca, todo estuvo dentro de lo esperado.;neutro
30;No tengo una opinión fuerte sobre los laboratorios, es aceptable.;neutro
31;Estoy muy contento con la plataforma virtual, cumplió todas mis expectativas.;positivo
32;Los horarios de clase ha mejorado bastante este semestre, felicitaciones al equipo.;positivo
33;En cuanto al servicio de wifi, la experiencia fue normal, sin nada destacable.;neutro
34;No recomendaría el instituto, sobre todo por el servicio de wifi.;negativo
35;Estoy muy contento con el servicio de wifi, cumplió todas mis expectativas.;positivo
36;No recomendaría el instituto, sobre todo por los precios de la pensión.;negativo
37;No recomendaría el instituto, sobre todo por las instalaciones.;negativo
38;Estoy muy molesto con la biblioteca, no cumplió mis expectativas.;negativo
39;La atención administrativa cumple lo mínimo necesario, sin sorpresas.;neutro
40;En cuanto a los docentes, la experiencia fue excelente y muy satisfactoria.;positivo
